iter	Logloss
0	0.6885626316
1	0.6835355683
2	0.6786219983
3	0.674590613
4	0.6701353582
5	0.666012689
6	0.6620963053
7	0.6582290805
8	0.6541711589
9	0.650460542
10	0.6468907467
11	0.64331322
12	0.6393671625
13	0.6352404699
14	0.6313638974
15	0.6281928986
16	0.6248861278
17	0.6217480929
18	0.6184018435
19	0.6149716501
20	0.6119103553
21	0.6090121771
22	0.6060210573
23	0.6032957106
24	0.6005502511
25	0.5976813892
26	0.5945375314
27	0.5920101302
28	0.5895004395
29	0.5868529972
30	0.5842252222
31	0.5818854631
32	0.5802556062
33	0.5779196823
34	0.57564165
35	0.5733506675
36	0.5708768545
37	0.5687416045
38	0.5667133147
39	0.5646240947
40	0.5627378613
41	0.5607491396
42	0.5584388767
43	0.5566697337
44	0.5547906778
45	0.5529635102
46	0.5509408536
47	0.5494184819
48	0.5474020029
49	0.5457202627
50	0.5440873444
51	0.542477442
52	0.5408862033
53	0.5393143232
54	0.5378079476
55	0.5361923062
56	0.5348132693
57	0.5333043053
58	0.5317996205
59	0.5304893764
60	0.5289894129
61	0.5278336771
62	0.5264499989
63	0.5249285387
64	0.5235528936
65	0.5222676971
66	0.5214029836
67	0.5200248214
68	0.5189355817
69	0.5177405213
70	0.5165734278
71	0.5154485687
72	0.5141416703
73	0.5130561124
74	0.5120499285
75	0.5107306059
76	0.5097003676
77	0.5087215292
78	0.5079876547
79	0.5071178669
80	0.5065940787
81	0.5056057727
82	0.5042854612
83	0.5034455294
84	0.5027324145
85	0.5020830378
86	0.5015099255
87	0.5006488902
88	0.4998777141
89	0.4990778161
90	0.4984787028
91	0.4975629398
92	0.4967167893
93	0.495914251
94	0.495211973
95	0.4942889946
96	0.4938500978
97	0.4932448299
98	0.4923554082
99	0.4915791154
