iter	Passed	Remaining
0	1	124
1	2	127
2	3	119
3	4	109
4	5	105
5	6	100
6	7	96
7	8	97
8	9	97
9	10	95
10	11	92
11	12	91
12	13	88
13	14	88
14	15	88
15	16	87
16	18	87
17	19	86
18	20	87
19	21	87
20	22	86
21	23	85
22	24	83
23	25	82
24	27	81
25	28	81
26	30	81
27	31	80
28	32	78
29	33	77
30	34	75
31	35	74
32	36	73
33	37	71
34	37	70
35	39	69
36	40	68
37	41	67
38	42	66
39	43	65
40	45	64
41	46	64
42	47	63
43	48	61
44	49	60
45	50	59
46	51	58
47	52	57
48	53	55
49	54	54
50	55	53
51	56	52
52	58	51
53	59	50
54	60	49
55	61	48
56	62	46
57	62	45
58	64	44
59	64	43
60	66	42
61	67	41
62	68	39
63	68	38
64	70	37
65	71	36
66	72	35
67	73	34
68	74	33
69	75	32
70	76	31
71	78	30
72	79	29
73	80	28
74	81	27
75	82	26
76	83	25
77	84	23
78	85	22
79	86	21
80	87	20
81	88	19
82	89	18
83	90	17
84	91	16
85	92	15
86	93	13
87	94	12
88	95	11
89	96	10
90	97	9
91	98	8
92	99	7
93	100	6
94	101	5
95	102	4
96	103	3
97	104	2
98	105	1
99	106	0
